"Neighbourhood","Neighbourhood Id","Combined Indicators","Assaults","Sexual Assaults","Break & Enters","Robberies","Vehicle Thefts","Thefts","Murders","Arsons","Fires & Fire Alarms","Fire Vehicle Incidents","Hazardous Incidents","Fire Medical Calls"
"Mimico",17.0,"N/A",217.0,13.0,61.0,10.0,36.0,10.0,0.0,1.0,374.0,168.0,129.0,559.0
"New Toronto",18.0,"N/A",87.0,5.0,24.0,19.0,9.0,3.0,0.0,0.0,160.0,33.0,51.0,293.0
"Long Branch",19.0,"N/A",63.0,1.0,25.0,14.0,9.0,2.0,0.0,0.0,80.0,18.0,38.0,197.0
"Alderwood",20.0,"N/A",44.0,5.0,24.0,6.0,9.0,7.0,1.0,1.0,106.0,54.0,42.0,170.0
"Humber Summit",21.0,"N/A",78.0,16.0,54.0,25.0,68.0,15.0,0.0,3.0,176.0,88.0,89.0,246.0
"Humbermede",22.0,"N/A",119.0,4.0,35.0,37.0,36.0,1.0,0.0,0.0,140.0,90.0,103.0,258.0
"Pelmo Park-Humberlea",23.0,"N/A",65.0,11.0,30.0,15.0,30.0,3.0,0.0,0.0,112.0,161.0,61.0,152.0
"Black Creek",24.0,"N/A",208.0,29.0,28.0,53.0,43.0,9.0,0.0,0.0,221.0,70.0,148.0,444.0
"Glenfield-Jane Heights",25.0,"N/A",285.0,31.0,36.0,61.0,41.0,7.0,0.0,5.0,361.0,113.0,173.0,585.0
"Downsview-Roding-CFB",26.0,"N/A",346.0,46.0,88.0,80.0,107.0,15.0,1.0,6.0,528.0,323.0,247.0,771.0
"York University Heights",27.0,"N/A",283.0,40.0,108.0,68.0,107.0,31.0,1.0,3.0,773.0,175.0,142.0,709.0
"Rustic",28.0,"N/A",52.0,6.0,21.0,16.0,7.0,1.0,0.0,0.0,104.0,63.0,51.0,182.0
"Maple Leaf",29.0,"N/A",22.0,9.0,13.0,7.0,7.0,0.0,0.0,1.0,59.0,51.0,45.0,187.0
"Brookhaven-Amesbury",30.0,"N/A",81.0,16.0,23.0,30.0,38.0,5.0,0.0,1.0,169.0,32.0,101.0,249.0
"Yorkdale-Glen Park",31.0,"N/A",102.0,14.0,51.0,20.0,69.0,22.0,1.0,0.0,288.0,171.0,109.0,544.0
"Englemount-Lawrence",32.0,"N/A",92.0,12.0,44.0,41.0,30.0,6.0,0.0,0.0,249.0,122.0,124.0,510.0
"Clanton Park",33.0,"N/A",77.0,17.0,63.0,10.0,70.0,5.0,0.0,1.0,178.0,113.0,91.0,270.0
"Bathurst Manor",34.0,"N/A",43.0,11.0,32.0,6.0,36.0,2.0,0.0,0.0,153.0,34.0,106.0,310.0
"Westminster-Branson",35.0,"N/A",97.0,14.0,60.0,19.0,28.0,3.0,0.0,2.0,238.0,88.0,120.0,608.0
